jobtitle,company,location,jobsnippet,salary,companyrating,href
"Applications Engineer, Control Systems Support",Extron,"Anaheim, CA","Applications Engineers also work with the sales team as a technical advisor for Extron product applications, product recommendations, and systems design.","Estimated: $70,000 - $72,000 a year",3.3 ,simplyhired.com/job/hNn5D_pIPm497SQc9tfrZjrD1hkEa0JWM5eVDwOY2ASK9RdOu2qYlQ
Cyber Intelligence Analyst,Endepth Solutions,"Columbia, MD",Our professional staff bring high-level technology skills and industry knowledge and work closely with clients to design and implement a security solution…,Estimated: $106K - $134K a year,5 ,simplyhired.com/job/LdUguxfDmZFqZhcRV6Zl7beuJ9pt8yaw9SPwXz7DA9OxhPSCOwAQtA
"Entry Level Network Engineer Field / Bellevue, WA / Mobile / MMK",BTI Solutions,"Irvine, CA","Preferred experience in analyzing logs, troubleshooting issues from field for UMTS/GSM CS, PS calls, LTE/5G Data calls, metric test is plus.",Estimated: $22 - $35 an hour,2.5 ,simplyhired.com/job/2XOoAGMpClZDZpi0o97fqdxFqNdGGnZGK-hT9ilGpOMaDKqNO8CIyw
Network Engineer Technical Specialist,Peraton,"Springfield, VA","BS degree in relevant field of study - Electrical/Electronic Engineering, Computer Engineering, Computer Science or other related scientific or technical…","Estimated: From $72,500 a year",3.2 ,simplyhired.com/job/hK2z9Qqsq4iyrslqaP2mJSaRA57UDrXIp8xe2aT5vcy1uK_uXQvUiA
Network Systems Engineer-Journeyman,Peraton,"Lompoc, CA",Translates high level product development strategies into system requirement specifications and works with other engineering disciplines to develop lower-level…,"Estimated: $80,000 a year",3.2 ,simplyhired.com/job/fW_XtnvG9O8oGmpdOmJ2Oii5fd2Uaw0PBnYWdEglpiZw9DDfhq3uEQ
Networking and Multiplayer Engineer,BIGBOX VR,"Seattle, WA",You have multiple years of experience with the Unity Editor (or other 3D game engines like Unreal) and knowledge of server-based multi-user game engineering…,Estimated: $91.5K - $116K a year,2 ,simplyhired.com/job/uHTE08T0D5EUw8-R81R_8tU7NRklkL2klDMk8J4_s2Qdvg1RwTAGKw
Cyber Operations Specialist,ArmyRec Bridgeport,"Morgantown, WV","Paid directly to the school, the program covers up to full tuition for public, in-state schools and up to $25,000 per year at private or foreign schools,…","Estimated: Up to $25,000 a year",N/A,simplyhired.com/job/x6aRSq46bpO5je7ZZubNZYbnWZsOZtXThA_a3AP19FefQaYiQ_BBPA
Network Support Technician,ManTech International Corporation,"Bremerton, WA","For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on…","Estimated: $62,700 - $70,000 a year",3.9 ,simplyhired.com/job/py_D1VXxf4vS-JPlUuSbATN4RZ67B_WI5-y_tB_AoDJC6HZrtONxCg
Cybersecurity Engineer,Liberty Mutual Insurance,Remote,Bachelor's Degree in technical discipline preferably computer science or software development. Extensive knowledge of design and development tools.,N/A,3.6 ,simplyhired.com/job/gx9r-EPyOHstK8vFUBkgH6Sa-31xBDZfHLM1dtNxC7lMuXjt4Ur2dA
Security Analyst,Dollar Bank,"Pittsburgh, PA","Work or internship experience in data analytics or criminology field. Exercises awareness regarding suspicious activity, money laundering, or fraudulent…",N/A,3.5 ,simplyhired.com/job/t444VzWueyxitnSF_3QnNy9D62gwo540QYOPnZbQLncylBNICvWsAA
Network Engineer,LinQuest Corporation,"Aberdeen Proving Ground, MD",Recent relevant experience directly supporting the Protected Anti-Jam Tactical SATCOM (PATS) enterprise and/or Wideband Global SATCOM (WGS) certification is…,Estimated: $94.7K - $120K a year,3.3 ,simplyhired.com/job/c3hNdsgLUqNU6lER30U7jST40-zeeCwNP9mMcsfR6mBZFfkwXXfWVA
Network Engineer III (Commerce IT),Choctaw Nation,"Durant, OK",Networks with senior internal and external personnel in own area of expertise. No technical Certifications needed with 8 years' experience.,Estimated: $69.8K - $88.4K a year,3.9 ,simplyhired.com/job/vloTxlKq2TZMnS4PI5RgvB_vKTXSzlLH42AQkcTd1Y1czvK8Sy_1IA
NOC (Network Operations Center) Technician,TechSolutions,"Wilmington, DE","Must have valid driver’s license and insured, reliable transportation. Rely on independent thinking and the ability to follow pre-established guidelines to…",Estimated: $38.4K - $48.7K a year,4.8 ,simplyhired.com/job/YC9V0F014s2MF5noOlHRWArbSRT_cNUkuJY8ox-lkT460pxIACZEJg
Storage Engineer,HCL Global Systems Inc,"Farmington Hills, MI","To architect, design, plan, implement, administer, control, and provide comprehensive support and optimization of the storage environments.",Estimated: $95.4K - $121K a year,4.5 ,simplyhired.com/job/NR-vSZEO9RAj7t-PzJRIHO0sErDDY82XlM-f_E5RLUXJBfPv5T3mJg
Cyber Security Analyst - Government Risk Compliance (St. Louis),Burns & McDonnell,"St. Louis, MO","Assist with the policies and procedures, secure process control network design, technical and design recommendations for the implementation of firewalls and…",Estimated: $88.2K - $112K a year,3.6 ,simplyhired.com/job/pd_pZzdEmfqD5vR86R3FI5dc60QO-qsk7e_VdamVNqTfggi97ec5Pg
Wireless Charging Engineer,Apple,"San Diego, CA","Bachelors in relevant EE field, Masters preferred At least 1 year of relevant technical work in industry. Desire to develop and execute test plans, analyze test…",N/A,4.1 ,simplyhired.com/job/cCqC2R5QMNojBJ43Cq_ZpIPw8DdCG_2CcM1u9yoLQLOa5OqyAm0xfg
Infrastructure Engineer,American Chemical Society,"Washington, DC","Willingness to gain knowledge of ACS storage environments including Dell/EMC Data Domain, Avamar, Unity, PowerStore, PowerMax, ENas, reporting tools, and…",N/A,4 ,simplyhired.com/job/zf_6V2xVV7YbCPsPsLQEP6X8LwZ7ff3wz2fjFbfQthhjGa9v4NZLVw
Network Engineer with Polygraphs,"FLASH Technology Group, LLC.","Columbia, MD","Monitors data or voice system networks for various messages, alarms, or issues. Exp with installation and configuration of any levels of network devices, such…","Estimated: $72,000 - $144,000 a year",4.3 ,simplyhired.com/job/97rk-bxtqtOrObjerC28rInRKRHcycNc_rXtct6KCgentSpgLsAxxg
SDA - Systems Security Engineer I (Sensors),Raytheon Missiles & Defense,"Fullerton, CA","Past work experience (professional or academic) interacting with multidisciplinary teams of system design professionals including electrical, mechanical,…",N/A,3.7 ,simplyhired.com/job/hq90UdEO_A_NXoisAP1cwWa7UMNvpF5obcx_Qx5dbIoy04PUjn02JQ
"Mid Level Network Engineer, Tucson AZ, P2",Raytheon Missiles & Defense,"Tucson, AZ","Develop technical expertise in all areas of voice and data networks hardware and software interconnection and interfacing, such as routers, multiplexers,…",N/A,3.7 ,simplyhired.com/job/iK4IXdWl0E_FyqR0jhiVz-35jP4By48myjVFUGXUdeSt7g73tUdppQ
Sustainment Cybersecurity Test Engineer,"ENSCO, Inc.","Colorado Springs, CO","Bachelor’s degree in engineering, mathematics, physics, computer science, or equivalent technical discipline. Understand fundamental concepts of software design…","Estimated: $60,000 - $80,000 a year",4.1 ,simplyhired.com/job/D6zs2RI_jZMjW0C1SNKrFe9YlK9vwu8ixTPLqmU7u3SM8fCl_O9fCQ
Entry-Level Vulnerability Researcher,Battelle,"Columbus, OH",Forms technical approach and generates technical volumes for small proposals with minimal guidance and leads Work Breakdown Structure (WBS) creation and labor…,Estimated: $68.9K - $87.3K a year,3.8 ,simplyhired.com/job/3KQh_lNX7ZmWlySiJf31DZfr5eWNE5jnKhg8tsSKQTljoK9kThPbAA
Network/Security Operations Center Analyst,Consolidated Nuclear Security,"Oak Ridge, TN",Knowledge of packet analysis and packet capture tools. Prior helpdesk and/or field support experience. Bachelor's degree in engineering/science/information…,Estimated: $69.5K - $88K a year,2.9 ,simplyhired.com/job/JZLLMWzjmpXTFlE2SlpLwaQ_j9y1itGNrtHJfdn_8iYhl_ghaGfLxw
Network Design Analyst FT - 1st shift,Huntsville Hospital Health System,"Huntsville, AL","Three to four years experience in complex cable plant design, and estimating installation in cable environments. Certification in Fiber Optic Installations.",Estimated: $57.7K - $73.1K a year,3.6 ,simplyhired.com/job/Fdq4scJ9QLFPV-BU5BJeuh2V_BeK_jbzDIQS4TluEsPELJ1ALu3gSQ
Network Engineer,CACI,"Aberdeen Proving Ground, MD",Recent and relevant experience directly supporting the Protected Anti-Jam Tactical SATCOM (PATS) enterprise and/or Wideband Global SATCOM (WGS) certification…,N/A,3.8 ,simplyhired.com/job/RNWO_2W7ShP2eG3_vG2eAhPyi10vEO19uRy03H90vAwYZ8fCluv3mQ
Information Security Analyst - Duke Health Technology Solutions - Durham,Duke Health,"Durham, NC","Level 1, 2 and 3 - Bachelor's degree in a related clinical or technical field, or four years of equivalent technical experience required.",N/A,3.8 ,simplyhired.com/job/qFJfIjBbk_wNxCouwqGUPgNpFDgW3XvQdWNIi7PfBBIrZF6x8RpLVQ
Jr Systems Engineer,CACI,"Sterling, VA",You will translate customer requirements into technical requirements and specifications while coordinating our cross-functional development team to ensure we…,N/A,3.8 ,simplyhired.com/job/MZDrGptjVuh77IDg5b2ZDTaThDYIrZvPvjGaZcD2HxdWUypAXViZHg
Network Engineer - Trainee (4719 - ITD Technical Support Engineer),Pima County,"Tucson, AZ","(1) A Bachelor's degree from an accredited college, university or technical trade school with a major in computer science, computer engineering, management…",Estimated: $30.31 an hour,3.5 ,simplyhired.com/job/kTV2Myvqxu9Qy_wobNeusiD8w56LFpIvYzx5zpbGseIHCmPjyXg_vg
Cyber Operations Specialist (FT),Goarmy.com Silver Spring Recruiting Center,"Silver Spring, MD","Provide technical guidance to subordinates. You could earn up to $40,000 in cash bonuses just for enlisting under certain Military Occupational Specialties.","Estimated: $2,000 - $5,000 a month",N/A,simplyhired.com/job/oEhlhehI4axKdNtWiHHe_FayTws7ZX-vbqVDGBzP3q07FEomQK-5dg
Field Systems Integration Engineer - Remote,Motorola Solutions,South Carolina,Associate39;s or Bachelor39;s Degree in a technical or engineering field. Associate39;s or Bachelor39;s Degree in a technical or engineering field.,Estimated: $76.3K - $96.6K a year,4.1 ,simplyhired.com/job/XZhANhC1Tp7IRyFSa-vITj-9gv1C6Q_vYjl9xtyneQLgeH8ZERX8Yw
"Principal Network Engineer, Onsite, St Pete Florida P3",Raytheon Missiles & Defense,"Saint Petersburg, FL",Help develop and implement new technologies based upon industry best practices. Use troubleshooting techniques to resolve technical problems at a high scope and…,N/A,3.7 ,simplyhired.com/job/erl2y1_EauLqwBwI1jm8dbbuOdNkwyJPYQixhuvm2C4HtY8QWDAiJQ
Systems Engineer – Machinery Control Systems,Noblis,"Philadelphia, PA","Systems engineer, plc, programable logic controlers, engineering, navy, noblis, versa module eurocard, cad, electrical engineering, computer engineering, lucas,…",Estimated: $81.6K - $103K a year,4 ,simplyhired.com/job/yjJBRoMV2yx45J3mE7dlePGEj0X8wb0rrH_ceefJ1fazX3fOLs49FA
Electrical Engineer - Data Center,Jacobs,"Philadelphia, PA","Working knowledge of broad range of electrical systems is preferred, including power system design, fire alarm design, lighting design, load flow studies,…",Estimated: $71.6K - $90.7K a year,3.9 ,simplyhired.com/job/SsJYesNT4J9LlWfbg1kigersLZEcwOFdYGuWj5mdmTXLYuBW77tnSA
Information Security Analyst IV - Vulnerability Assessment,Navy Federal Credit Union,Remote,"Conducting Vulnerability assessments including network, host, web applications, using tools including: Tenable Nessus, Rapid7 Nexpose, Burp Suite, Checkmark etc…","$101,000 - $185,200 a year",3.9 ,simplyhired.com/job/_y1Mu0URyU3NogWKoVQsYE_jieWnDQpjNz-ghUOmp9-pV8eE2I9w0w
Wireless Communications & Signal Processing Engineer,The MITRE Corporation,"Bedford, MA",We are seeking to hire highly motivated undergraduate and graduate entry-level new grads whose skills and expertise span the gamut of EE/ECE topics; from RF…,Estimated: $104K - $131K a year,3.9 ,simplyhired.com/job/qxYXb7HR7J-A76MPkOtvLs1vXOaHej_Fr9T8NVJmb1AVoynssMbByw
NETWORK SECURITY ENGINEER: TS/SCI with Full Scope Poly,"Inferno Systems, Inc.","Chantilly, VA",Proven ability to design and develop integrated network solutions using Linux and traditional appliance network devices. Clearance Status: Must be Current.,"Estimated: $150,000 - $220,000 a year",N/A,simplyhired.com/job/MMmpvIGHxmteS2YMM-7uzwbN_jbngYQFR8j46IyhDb3aNBK2XJ2JmQ
COMPUTER NETWORK TECHNICIAN – Level 1,CARCERON,"Atlanta, GA","Must own an insured car, truck or SUV in good working condition. On site hardware and peripheral diagnostics, troubleshooting and repair.",Estimated: $34.6K - $43.9K a year,N/A,simplyhired.com/job/94KzJZTOqeTYqSe3ruvX0UvBUvbP_EzoyKtna_ZhnDr6-tE6f349dQ
Post-Doctoral Associate - Neuroscience Mechanisms Of Network Development,University of Minnesota,"Minneapolis, MN","Salary will be commensurate with experience, and will exceed NIH guidance. This research will employ cutting-edge multiphoton imaging and optogenetics to…",Estimated: $49.3K - $62.4K a year,4.1 ,simplyhired.com/job/J2NShpTJ05ZJlaoRGc85fqUb1q-tejrHtoyZcKPbzgeBsJ2Uz22q3g
Noc Interconnect Design Engineer And Architect,"225 Qualcomm Technologies, Inc.","San Diego, CA","Bachelor's degree in Science, Engineering, or related field and 4+ years of ASIC design, verification, or related work experience.","Estimated: $134,500 - $201,500 a year",N/A,simplyhired.com/job/3nXjjvkXNl3GOpBmWY8crsaYLNxOC1LVjAmD3Nrdi81Z1DqvGOHxJw
Automation Design Engineer II - National Operations Center (NOC) - Remote (US),Siemens,"Irving, TX","Hvac controls, building controls, building automation, programming, field technician, heating, ventilation, air conditioning, direct digital control, apogee,…",Estimated: $69.2K - $87.7K a year,4 ,simplyhired.com/job/G7YMk2wVcaXybi3JyHc7q4h9g7SM_c4M2qqocU630ByMGZRD5vUdpA
"Inc Anlst, ITS Network Operations (2nd shift | Sun-Wed | 1PM-11PM)",Ricoh,"Commack, NY",An associate degree in computer science or a closely related field preferred. This is an entry-level technical operations position whose primary…,Estimated: $23 an hour,3.4 ,simplyhired.com/job/saXe4LXG61wjwl-9qmASlNHoPtihMZ1b7A0CnQCJv_ct0rpTlLk6rg
INFORMATION TECHNOLOGY SPECIALIST (INFOSEC),US Naval Education and Training Command,"Pittsfield, MA","If you claim membership, license, certification, or credentials, you must submit a copy of said document in your application package. Must be a US Citizen.","$53,309 - $82,854 a year",N/A,simplyhired.com/job/tauQOM0mAkNBcg9vBaLd2HAbNCqHEj4iAVyVTCDcWE5ub_gPxYolmg
Sr. Network Architect,HCL Global Systems Inc,"Farmington Hills, MI","UUnder limited supervision, design and implement moderately complex enterprise data center networks in multi-vendor environments; gather data to identify client…",Estimated: $128K - $163K a year,4.5 ,simplyhired.com/job/kERtEt-I-XZp5onYR6bM7e3AmdTdbb3bIY-Amc1lRFCjdeqET2WwRg
Wireless RF Engineer,Motorola Solutions,"Plantation, FL",These projects include detailed analysis of the existing designs and implementation of cost effective and manufacturable performance enhancements for our…,Estimated: $74K - $93.7K a year,4.1 ,simplyhired.com/job/fkWYb2wb18WMvrVs7ByMMY4HORpU68p_jQdj32rPcv1HQ6No-pRUTA
Senior Application Security Engineer,Navy Federal Credit Union,Remote,"Advanced degree in Computer Science, or related field (e.g., cybersecurity) or equivalent technical experience. Military Times 2021 Best for Vets Employers.","$101,000 - $185,200 a year",3.9 ,simplyhired.com/job/ODiGkN1PPfftsraY13eiKlZgib9Le_knQecVXp_qa50Y6xHK7y8zgg
Embedded Threat Analyst SIBU59,Sibylline,"Austin, TX",Support the growth of the threat monitoring function within the client company by working in collaboration with team leads to develop and innovate assessment…,Estimated: $71.7K - $90.8K a year,N/A,simplyhired.com/job/z0AEIde0F-x6O0_oQPf6dWJSkjDACcBRgQ2zr5k9rbgiQDFRgSi7jA
Engineering Services Manager - Enterprise,HEARTLAND BUSINESS SYSTEMS LLC,Remote,5+ years in a technical related field. 7+ years in a technical related field. Maintain technical certifications in areas of technical expertise.,Estimated: $116K - $146K a year,2.7 ,simplyhired.com/job/QP5vQNEIm6fUxLsUEQ6NJK3JVJ4L2I9OMPycDZVwKN5V2oKYb5ePjg
Computer Systems Security Analyst (TALOS),Prescient Edge Federal,"Herndon, VA",Experience creating and managing the plan of action and milestones (POA&Ms) and working with project managers and engineers to develop schedules and engineering…,Estimated: $97K - $123K a year,3.9 ,simplyhired.com/job/9vDuBxNHd0t8OLfBYTlsZuWtTG7lTAcFXdM7K08IDKBUgS8Johnj3Q
"Junior Network Engineer, Tucson AZ, P1, Active US Clearance required",Raytheon Missiles & Defense,"Tucson, AZ","Develop technical expertise in all areas of voice and data networks hardware and software interconnection and interfacing, such as routers, multiplexers,…",N/A,3.7 ,simplyhired.com/job/fOsh6-FZqY0HqHOXrij6N7_Ye_j115z2_oaC5BxJEnQhuG-dMCi4pA
Information Systems Engineer - GTRI-ISD,Georgia Tech Research Institute,"Atlanta, GA","Responsible for the day-to-day operational activities of the End-user computing environment, including but not limited to windows, mac, and linux workstation…",Estimated: $89.4K - $113K a year,4.2 ,simplyhired.com/job/Hl3ER-XgzqSIIp4hO7DNkCNBc13lfOuoje37sMMSL93IVhmv_ca52Q
Systems Engineer Manager - EUC Virtualization,Home Depot / THD,"Atlanta, GA","Minimum Education: The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field…","$240,000 a year",3.7 ,simplyhired.com/job/52Ghs6ocGvYX2KqofRL66Uf33CsCjXodmae9If0PjkWYeTHOnZnmCQ
Jr. Systems Administrator,"NHS Management, LLC","Tuscaloosa, AL","Job Qualifications: AS Degree in Computer Science, Engineering or a related technical discipline, or the equivalent combination of education or technical…",N/A,3 ,simplyhired.com/job/O0XG0pEvmssQEjZTvPvh5-eQGSzY7RmSph7iygSd6gNYv5EoK-NDEA
Fire Alarm Engineer II - National Operations Center (NOC) - Remote (US),Siemens,"Irving, TX",Nicet nfpa design engineering fire alarm life safety eit ashre cissp n3 fas wbs nfpa72 autocad visio computer aided design drafting vesda.,Estimated: $77.2K - $97.8K a year,4 ,simplyhired.com/job/3ryX6HKolIZ99LyiGTG6eKytp5kWiNQCq7hmP9T_TzvDLSsm23pQCg
Cyber Operations Specialist,ArmyRec Houston,"Houston, TX","Maintain network defense tools such as routers and firewalls. Conduct network terrain audits, penetration testing, basic digital forensics and software threat…","Estimated: $45,000 - $54,000 a year",N/A,simplyhired.com/job/RAZT0Es9mFBWsd74a257HjxO0ODQz57BNEMevpHJZJtY5Fnbh-IDGg
"Cybersecurity Solutions Architect - 50% remote from Tewksbury, MA, Tucson, AZ or McKinney, TX",Raytheon Missiles & Defense,"Tewksbury, MA","IMPORTANT NOTE: Within six months of hire date, you must obtain and maintain a Security professional certification commensurate with a DoD 8570.01-M IAM level…",N/A,3.7 ,simplyhired.com/job/gP3h9e8PH_SpERFOyh6Wd2HKhxgKQiC1UCdMJguDsHgkdbgrAFfR8A
Security Classification Assessor Test Engineer I (Government),AT&T,"Chantilly, VA","A degree in a technical field (Computer Science, IT Engineering, etc). The services obtained under this contract shall provide expertise to support information…",Estimated: $78.6K - $99.5K a year,3.7 ,simplyhired.com/job/GLjUlQQGM7SvJmimeQkblBY1NGheoBXlERelRlCUyR-cimJ1GEJbIg
Sr. Principal Specialist Enterprise-Wide Area Network (eWAN) Active Directory Subject Matter Expert (SME)- on-site!,Raytheon Missiles & Defense,"Tewksbury, MA",Analyze current Active Directory environment to identify both technical and operational challenges and develop solutions for improvement.,N/A,3.7 ,simplyhired.com/job/K6PgtYj8HgNypVbhoKTx2q5xNh3K-X7f8_WKSF9PnqbDosOv-F7Bew
Senior Solutions Architect,T2S Solutions,"Huntsville, AL",A bachelor's degree in a specialized field and 10+ years of experience in Systems Architecture projects or a master's degree in a specialized field and 5+ years…,Estimated: $118K - $149K a year,4.6 ,simplyhired.com/job/kfxsQE2YG4rTKngXW5dK0Yz9cDQDQ0C6fVfvncPUGIyQkIJEiA3E5Q
Senior Systems Engineer,"ENSCO, Inc.","Orcutt, CA","Review and assess contractor designs, artifacts and provide feedback on potential alternative system design approaches that adhere to mission requirements,…","Estimated: $105,000 - $125,000 a year",4.1 ,simplyhired.com/job/J5cDk6Hxxq136fMNqR0ZPk5OOmlwHNxPyxo4wAxDcnMjMrJBPvga-Q
Cyber Security Engineer,CipherNova,"Redstone Arsenal, AL",A Bachelor's Degree in a technical field is preferred. A DoD 8570 IASAE level II certification is required: Certified Information Systems Security Professional …,Estimated: $110K - $139K a year,N/A,simplyhired.com/job/jJ1deFba5_S2mMXBt9OY0kdLC3yBc1xNTOBWtr4vcF5qm4z1Hbjf7g
Senior Systems Security Engineer - Anti-Tamper,Raytheon Missiles & Defense,"Saint Petersburg, FL","Typically Five (5)+ years of progressive technical (hands-on) experience related to Systems/Software Engineering architecture, requirements, determination,…",N/A,3.7 ,simplyhired.com/job/ArW_gJRlUjiY4Wj6wM679k-YYsV0cu1jkerPb8ft9IRkkRI-6bNvOg
"Sr. System Specialist – Smart Buildings / Automation / HVAC Controls (Harrisonburg/Elkton, VA)",Siemens,"Elkton, VA","Must be 21 years of age and possess a valid driver's license with limited violation. Hvac controls, building controls, building automation, programming, field…",Estimated: $62.5K - $79.2K a year,4 ,simplyhired.com/job/eomMAIqteLiWq58A1Hoact7sLmOiqaeJt0TecznbDKomt9tkhezSeA
2023 Graduate – Engineer – Applied Technologies & Threat Engineer/Analyst,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD","Are skilled in and/or have knowledge of one or more of: RF board design, antenna design, RF propagation, RF system design, RF testing, and HPM system design.",N/A,4 ,simplyhired.com/job/zJuZyxwWwWC9AUyAYory2a4LrECEwnGu7RWEheXrY91t9PiEEx6Yqg
Information Systems Security Engineer ISSE,"ENSCO, Inc.","Colorado Springs, CO","Technical skills to understand and analyze system problems, define potential solutions, and conduct in-depth technical analysis, assessments and trades and…","Estimated: $115,000 - $140,000 a year",4.1 ,simplyhired.com/job/nMAUACu9HF4xK2YUB40K9AyBhQdjKjQCnKo1jbn0E3yCcT-bI15dvg
Senior COTS Computing and Networking Engineer - HYBRID role,Raytheon Missiles & Defense,"Tewksbury, MA","Experience collaborating in development with hardware engineering disciplines, supply chain, suppliers, field engineering, on-site installation and trades, and…",N/A,3.7 ,simplyhired.com/job/dKOVXnBVhEox3CqsYQvSHq_2gLjl_KyaGNu3GSBUaHbuaX1e9_U9ww
"System Administrator P1, Sensor Product Line, Marlborough MA (Onsite)",Raytheon Missiles & Defense,"Marlborough, MA","Success in this role means you can develop, implement and maintain secure, cost-efficient environments across various classified programs.",N/A,3.7 ,simplyhired.com/job/NMStqfTeQKZuJDY7NUd4R6AwIAJ_RFMr8fDFFYBpqf3JskX0tMcDpQ
Sr Principal COTS Computing & Networking Engineer - HYBRID - SC5,Raytheon Missiles & Defense,"Tewksbury, MA","O Experience collaborating in development with hardware engineering disciplines, supply chain, suppliers, field engineering, on-site installation and trades,…",N/A,3.7 ,simplyhired.com/job/nHHZgslX25bNW7A13B2Hxu4nAPz4H-oSC3Z_68BsvhixCcDTLMRXGw
Sr. Systems Engineer,HCL Global Systems Inc,"Farmington Hills, MI","Under limited supervision, design and develop solutions to complex application problems and system administration issues; gather and analyze user requirements;…",Estimated: $108K - $137K a year,4.5 ,simplyhired.com/job/TxbR-ZRoQdA7nJrIy1GgXsC_UsNc2Df_RzaFyXuB28wNo5Y-uckA8g
Systems Administrator,HCL Global Systems Inc,"Farmington Hills, MI","Implement, configure, administer, monitor and troubleshoot systems, domains and servers; confer with users about solving system problems; maintain and…",Estimated: $85.3K - $108K a year,4.5 ,simplyhired.com/job/2dLLHeowix4d7zaVe25Rsr5DmlzaZVd1G9lEqGfAO1Bh7t9_Lxsxvw
System Administrator (Infrastructure Support Services),GovCIO,"Hines, IL","Education / Experience: Bachelor's Degree in computer science, electronics engineering or other engineering or technical discipline with 0-2 years of relevant…",N/A,3.2 ,simplyhired.com/job/GRJEW1kK2pcaTVgF7daasynJSOcejAWwCP5vXybzl9Eu6IuUdt6iqw
Principal COTS Computing and Networking Engineer - HYBRID - SC5,Raytheon Missiles & Defense,"Marlborough, MA","O Experience collaborating in development with hardware engineering disciplines, supply chain, suppliers, field engineering, on-site installation and trades,…",N/A,3.7 ,simplyhired.com/job/0CTtMJzYUJybP9qf0C9yXnrg4LeBJPsH8Zcj0JkidXTzqOGDrlHS1Q
Special Programs - Senior Security Analyst,Raytheon Missiles & Defense,"Woburn, MA","A valid driver’s license is required. Degree major in Business Management, Security and/or Risk Management, Government Policy, Information Management, Criminal…",N/A,3.7 ,simplyhired.com/job/E792KIJKkSsSjxgwRj-cnsS9Hfo-v4GVrvDmvK-xT07Gnqr7o9dKAw
"Senior Cybersecurity Tactical Architect **New Role** Woburn, MA",Raytheon Missiles & Defense,"Woburn, MA","IMPORTANT NOTE: Within six months of hire date, you must obtain and maintain a Security professional certification commensurate with a DoD 8570.01-M IAM level I…",N/A,3.7 ,simplyhired.com/job/tSw565YZgijugNjeA_6nKbtK7lDyqlCO5-7G5SB7kijFELFnXE4MBQ
Vulnerability Researcher,BlueHalo,"Annapolis Junction, MD","Candidates should have demonstrated ability to develop proof-of-concept exploits against research targets, prototypes and hands-on demonstrations of…",Estimated: $110K - $140K a year,4.2 ,simplyhired.com/job/lr7EuaCDTkRiIVjC0Z3sBKHWpNSMOJCQCtGVq0vdO43X295A3r_HyQ
"Senior Principal Engineer, Systems Engineering",Raytheon Missiles & Defense,"Tewksbury, MA","Experience presenting technical information to leadership, subcontractors, and non-technical audiences. Lead a multi-disciplined team of engineers to develop…",N/A,3.7 ,simplyhired.com/job/zF1qHoLQAv0JD81oK2Zd-x2bnZLcMBeVw2nYkRUzqrVs8Map1AI_dg
Junior Cybersecurity Analyst,Isys Technologies,"Kirtland AFB, NM","Mission assurance analysis, military operations, and technical writing. This entry level position will assist in planning, execution and reporting cybersecurity…",N/A,3.6 ,simplyhired.com/job/NEMIpoxGN_E_PLBWWiJO_plUHzJ8NynUhkapWCRDQFTDHkSNsecXOQ
"Manager, Data Loss Prevention Operations",Navy Federal Credit Union,"Pensacola, FL","Experience in Cybersecurity analysis, incident response, or a related field with increasing responsibility. Help develop functional requirements, processes, and…","$113,200 - $193,600 a year",3.9 ,simplyhired.com/job/GSkfrkhQDBhQAjeSdRAWcHZ6ETRBGKGQi-kAbvG7u2aZXY97Li5Dtw
Senior Systems Engineer: Cyber / Anti-Tamper (P3),Raytheon Missiles & Defense,"Tewksbury, MA","Experience in the field of Engineering, including any of the following: System Requirements definition and analysis, System Test and Analysis, Systems…",N/A,3.7 ,simplyhired.com/job/8SxxGnwwdD3dY6AKLNUY9FNuIPqrxc77nnyb1f-Pb2JI-mN78WNl7A
Senior Cloud Security Engineer (Threat Discovery & Assessment),Navy Federal Credit Union,Remote,"Experience with methodologies and security testing tools for threat analysis of complex applications and services including threat modeling, software fuzzing,…","$101,000 - $185,200 a year",3.9 ,simplyhired.com/job/c6RzbcVxW8TBgG1L_pPXx78kwkCohB5vdQyTvjaOdbz1C2CUxEWowA
Principal Systems Engineer (CLS),Raytheon Missiles & Defense,"Woburn, MA","In this role, you will perform analysis and reporting of radar performance and maintenance support developing troubleshooting and corrective action plans for a…",N/A,3.7 ,simplyhired.com/job/o4V2f4sc4xRIXT5pajUcEkCG1pFA9Oh92c5zpInG_NNfLZWfCtvfUw
"Unified Communications SME - Junior (AV, VTC, Telephony, or Chat)",Tyto Athene,"Annapolis Junction, MD","Analyze complex hardware systems, hardware design, architecture, network design and other technical hardware issues.",N/A,3.1 ,simplyhired.com/job/GDJ6X7GJOgTfbf1x4zmVIIWCq146hXMcM_F5Slaqrx6LRFmft8SV6A
Sr Principal Systems Security Engineer - Release Train Engineer (P5),Raytheon Missiles & Defense,"Woburn, MA","Experience in the field of Engineering, including any of the following: System Requirements definition and analysis, System Test and Analysis, Systems…",N/A,3.7 ,simplyhired.com/job/ti7zwQVgHqAZRxX5uZC2IhMkGDAsYjwXNO3nCorjdDkResasY9vBTw
